                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.4399,                 2.0225,                 1.6947,                0.65331,                0.32184,                 0.3062,                0.13444,                 1.9284,                 2.4752,                 2.2697,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4179,                 1.9887,                 1.6701,                0.69717,                0.31034,                0.34045,                0.14071,                 1.9856,                 2.4584,                 2.3318,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4364,                 2.0057,                 1.6904,                0.66615,                0.26437,                0.29304,                 0.1207,                 1.9397,                  2.533,                 2.2641,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4389,                 2.0091,                  1.686,                0.48758,                0.33333,                  0.299,                0.13268,                 1.9489,                 2.5109,                 2.2983,               0.000614,               0.000614,               0.000614
                     72,                 1.4219,                 2.0029,                 1.6734,                0.62355,                0.26437,                0.27692,                0.11212,                 2.0699,                 2.5471,                 2.3637,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4255,                 1.9832,                 1.6759,                0.64763,                0.24138,                0.29387,                0.13127,                   1.95,                  2.521,                 2.2606,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4116,                 1.9765,                 1.6709,                0.54737,                0.33333,                 0.3134,                0.13129,                  1.985,                 2.4432,                 2.3071,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4417,                 1.9805,                 1.6796,                0.57663,                0.28736,                0.28575,                0.11655,                 1.9773,                 2.5506,                 2.2872,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4118,                 1.9562,                 1.6671,                0.51068,                0.27586,                0.27199,                0.11833,                 2.0152,                 2.5204,                 2.2731,               0.000515,               0.000515,               0.000515
                     77,                 1.3964,                 1.9625,                 1.6607,                0.46929,                0.35632,                0.32877,                0.14784,                 1.9298,                 2.3383,                  2.213,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3963,                 1.9309,                 1.6456,                0.60984,                0.24138,                0.29164,                0.12029,                 1.8656,                  2.483,                 2.1771,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3753,                 1.8967,                 1.6413,                0.54408,                0.37931,                 0.3212,                0.14934,                 1.9752,                 2.4026,                 2.2662,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3803,                 1.8731,                 1.6355,                0.41252,                0.29885,                0.25913,                0.11544,                 2.0567,                  2.513,                 2.2755,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3585,                 1.8637,                 1.6315,                0.50063,                0.29885,                0.30447,                0.11916,                 2.0188,                 2.5238,                 2.2958,               0.000416,               0.000416,               0.000416
                     82,                 1.4018,                 1.8908,                 1.6509,                0.51563,                0.27586,                0.27433,                0.11311,                 2.0084,                 2.6432,                 2.2526,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3718,                 1.8941,                 1.6297,                0.42853,                0.31034,                0.29389,                0.11685,                 2.0079,                 2.4649,                 2.3186,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3601,                 1.8509,                 1.6417,                0.59122,                0.26603,                0.31734,                0.13568,                 2.0789,                 2.5052,                 2.3119,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3749,                 1.8263,                 1.6315,                0.59202,                0.28736,                0.28064,                0.11282,                 2.0775,                 2.5144,                 2.3112,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3655,                 1.8149,                 1.6114,                0.57828,                0.26801,                0.27402,                0.11684,                 2.0587,                 2.5026,                 2.3016,               0.000317,               0.000317,               0.000317
                     87,                 1.3453,                 1.8338,                 1.6106,                 0.4558,                0.31034,                0.28809,                0.10016,                 2.0915,                 2.5283,                 2.4047,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3573,                 1.7961,                 1.6209,                0.65446,                0.26437,                0.29835,                 0.1196,                 2.0729,                 2.4177,                 2.2955,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3301,                 1.7674,                 1.6042,                0.67752,                0.27586,                0.28103,                0.12261,                 2.0984,                 2.5298,                 2.3443,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3232,                 1.8024,                 1.6026,                0.52264,                0.31467,                0.29564,                0.12604,                 2.0999,                 2.4347,                 2.3556,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5128,                 2.0265,                 1.8155,                0.71444,                0.25287,                0.29466,                0.12692,                 2.0863,                 2.2903,                 2.3724,               0.000218,               0.000218,               0.000218
                     92,                 1.4575,                 1.9174,                 1.7454,                0.62667,                0.28736,                0.32264,                0.11979,                 2.0281,                  2.466,                 2.3256,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4674,                  1.895,                 1.7624,                0.82197,                0.25287,                0.32309,                0.12427,                 2.1414,                 2.5104,                 2.4187,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.4629,                 1.8874,                 1.7564,                0.74795,                0.27294,                 0.3238,                0.13248,                 2.0851,                 2.3994,                 2.3466,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4307,                 1.8711,                 1.7362,                0.65808,                0.25287,                0.29822,                0.12096,                 2.0835,                 2.5006,                 2.3535,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4192,                 1.8739,                 1.7113,                0.50306,                0.29885,                 0.3229,                0.13201,                 2.1168,                 2.4354,                 2.4413,               0.000119,               0.000119,               0.000119
                     97,                  1.413,                 1.7922,                 1.7128,                0.84412,                0.25287,                0.33416,                0.12436,                  2.119,                 2.4636,                  2.405,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3945,                 1.7643,                 1.7111,                0.64531,                0.27193,                0.32342,                0.12737,                   2.12,                 2.4402,                  2.422,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4024,                 1.7902,                 1.7115,                0.67225,                0.25943,                 0.3019,                0.11589,                 2.1385,                 2.4954,                 2.4375,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                   1.37,                 1.7367,                  1.682,                 0.6978,                0.26437,                0.30611,                0.11349,                 2.1456,                 2.4974,                 2.4627,               3.98e-05,               3.98e-05,               3.98e-05
